﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:12qZHAeOyTf93YAWvGDTat","All The Small Things","blink-182","Enema Of The State","1","8","168000","spotify:user:1163504943","2013-03-19T13:38:33Z"
"spotify:track:1hWrl3T1kIH5b9zRHLfCOn","What's My Age Again?","blink-182","Enema Of The State","1","5","148573","spotify:user:1163504943","2013-03-19T13:38:35Z"
"spotify:local:::Itchy+Poopzkid+-+Where+Is+The+Happiness:189","Itchy Poopzkid - Where Is The Happiness","","","0","0","189000","spotify:user:1163504943","2013-03-19T13:39:09Z"
"spotify:track:1IowRsCymJPFOm83k8BuD0","Why Still Bother","ITCHY","Lights Out London","1","1","189367","spotify:user:1163504943","2013-03-19T13:39:12Z"
"spotify:track:0Bt5sNE9DfKq9Q1zhdUIU7","Is It On","Itchy Poopzkid","Best of Festivals 2011","1","6","198486","spotify:user:1163504943","2013-03-19T13:42:14Z"
"spotify:track:6Qco0sOV7ob359cmgO9YNG","Down Down Down","ITCHY","Lights Out London","1","2","209857","spotify:user:1163504943","2013-03-19T13:42:28Z"
"spotify:track:34OtT4m8AYCvpNZ8nPZth6","bender","Stray Bullets","Badassed Records Compilation No. 1","1","6","200826","spotify:user:1163504943","2013-03-19T13:44:11Z"
"spotify:track:257X855jkf1Gs0i4ixJBh3","Adelaide","State Radio","Rabbit Inn Rebellion (With Track by Track Commentary)","1","12","290360","spotify:user:1163504943","2013-03-19T13:44:49Z"
"spotify:track:6NgHNiGFt5dCv71sCb2c27","Knights of Bostonia","State Radio","Let It Go","1","6","262986","spotify:user:1163504943","2013-03-19T13:44:51Z"
"spotify:local:::Fall+Of+The+American+Empire-State+Radio:516","Fall Of The American Empire-State Radio","","","0","0","516000","spotify:user:1163504943","2013-03-19T13:44:56Z"
"spotify:local:State+Radio:Let+It+Go:State+Radio+-+Doctor+Ron+The+Actor:235","State Radio - Doctor Ron The Actor","State Radio","Let It Go","0","0","235000","spotify:user:1163504943","2013-03-19T13:45:04Z"
"spotify:track:3QO8W45i5w0WJF8AQtY1KN","This Is the End (For You My Friend)","Anti-Flag","For Blood And Empire","1","6","192066","spotify:user:1163504943","2013-04-01T16:33:03Z"
"spotify:track:6835kWPPWzY9Ei3ruxJ3aY","1 Trillion Dollar$ - Dirty Version","Anti-Flag","For Blood And Empire","1","7","150666","spotify:user:1163504943","2013-04-01T16:33:06Z"
"spotify:track:63t9x6MyYnZ9tYprnk6cty","The Anthem","Good Charlotte","Greatest Hits","1","5","174213","spotify:user:1163504943","2013-04-21T19:11:15Z"
"spotify:track:2HwnyY0F1VVUjKVif90k5s","Freckled Mary","State Radio","Rabbit Inn Rebellion (With Track By Track Commentary)","1","4","220533","spotify:user:1163504943","2015-08-10T14:58:15Z"
"spotify:track:4nqipFHgv7CMIz2wHKDKzt","Roadway Broken","State Radio","Rabbit Inn Rebellion (With Track By Track Commentary)","1","6","298240","spotify:user:1163504943","2015-08-10T14:58:19Z"
"spotify:track:7e6XelirQXdqSxIEetO4ot","Big Man","State Radio","Rabbit Inn Rebellion (With Track By Track Commentary)","1","8","305266","spotify:user:1163504943","2015-08-10T14:58:21Z"
"spotify:track:3kiH6fGfsIHOWrYnhrY4Ki","Take Cover","State Radio","Rabbit Inn Rebellion (With Track By Track Commentary)","1","10","311866","spotify:user:1163504943","2015-08-10T14:58:24Z"
"spotify:track:0JY7t85is0nmViiRYhBtMW","Adelaide","State Radio","Rabbit Inn Rebellion (With Track By Track Commentary)","1","12","290360","spotify:user:1163504943","2015-08-10T14:58:26Z"
"spotify:track:4btEEvsxQ2dmBz3zpL614o","Desert Queen","State Radio","Rabbit Inn Rebellion (With Track By Track Commentary)","1","14","232760","spotify:user:1163504943","2015-08-10T14:58:28Z"
"spotify:track:2MB7mQH2MNc5ARlEUXzgAq","Sugarbeet Wine","State Radio","Rabbit Inn Rebellion (With Track By Track Commentary)","1","16","381106","spotify:user:1163504943","2015-08-10T14:58:31Z"
"spotify:track:79CVHVq0gC6fm6zxWMHyd9","The Bridge Is Burning","State Radio","Rabbit Inn Rebellion (With Track By Track Commentary)","1","18","176626","spotify:user:1163504943","2015-08-10T14:58:45Z"
"spotify:track:6ZLN0V34DFq0d4MBnCo4C9","State of Georgia","State Radio","Rabbit Inn Rebellion (With Track By Track Commentary)","1","20","296066","spotify:user:1163504943","2015-08-10T14:58:47Z"
"spotify:track:47yz80zgtQzLe8wzNTNrgy","Black Welsh Mountain","State Radio","Rabbit Inn Rebellion (With Track By Track Commentary)","1","22","273440","spotify:user:1163504943","2015-08-10T14:58:49Z"
"spotify:track:40vzwWg3hPcXZ9K1ySaO4m","Mansin Humanity","State Radio","Let It Go","1","1","307786","spotify:user:1163504943","2015-08-10T14:58:59Z"
"spotify:track:5oDDAo9gsQdvuFqPC52Lwo","Doctor Ron the Actor","State Radio","Let It Go","1","3","241973","spotify:user:1163504943","2015-08-10T14:59:02Z"
"spotify:track:7JXhwh6nnatkDIEkoCTRTl","Arsenic & Clover","State Radio","Let It Go","1","4","186066","spotify:user:1163504943","2015-08-10T14:59:56Z"
"spotify:track:3PbmabWpXF5XQTaEE75clB","Bohemian Grove","State Radio","Let It Go","1","5","275680","spotify:user:1163504943","2015-08-10T14:59:59Z"
"spotify:track:5VHyFfV7sitBghGykmkuIG","Knights of Bostonia","State Radio","Let It Go","1","6","262986","spotify:user:1163504943","2015-08-10T15:00:01Z"
"spotify:track:4WgHSPxaeEvqf89gCGkCWn","Let It Go","State Radio","Let It Go","1","7","192760","spotify:user:1163504943","2015-08-10T15:00:02Z"
"spotify:track:5zv28XIE3FSnISEPjdLFuG","Held Up By the Wires","State Radio","Let It Go","1","9","277560","spotify:user:1163504943","2015-08-10T15:00:04Z"
"spotify:track:3qUYvX8n3H7pyJ1GAcAkbJ","Blood Escaping Man","State Radio","Let It Go","1","10","212933","spotify:user:1163504943","2015-08-10T15:00:05Z"
"spotify:track:7sn33tr5xs7amxfQtFHRWq","Still & Silent","State Radio","Let It Go","1","11","246680","spotify:user:1163504943","2015-08-10T15:00:29Z"
"spotify:track:2LNygwz0biT3swt4mp8jHt","Indian Moon - Long View Farm","State Radio","Let It Go","1","12","345920","spotify:user:1163504943","2015-08-10T15:00:36Z"
"spotify:track:57gtrPUQJ5UGF8ieO2ZvZk","First One Shot","State Radio","Peace Between Nations EP","1","1","297760","spotify:user:1163504943","2015-08-10T15:00:46Z"
"spotify:track:6tMSTAB8RFSlCp8f9s7K5P","Camilo","State Radio","Us Against the Crown (Bonus Track Version)","1","3","290253","spotify:user:1163504943","2015-08-10T15:00:51Z"
"spotify:track:4YpfCuPgmU2AuTbTDRKqaX","Mr. Larkin","State Radio","Us Against the Crown (Bonus Track Version)","1","2","248733","spotify:user:1163504943","2015-08-10T15:00:53Z"
"spotify:track:7DU1ZyMBST8lyFnEeA8SvO","Right Me Up - (Album Version)","State Radio","Us Against the Crown (Bonus Track Version)","1","4","253040","spotify:user:1163504943","2015-08-10T15:01:00Z"
"spotify:track:7o0kE0cminUVE60V5EJLqX","Black Cab Motorcade","State Radio","Us Against the Crown (Bonus Track Version)","1","5","244293","spotify:user:1163504943","2015-08-10T15:01:50Z"
"spotify:track:04JZe7kg0NvL430zrNYe51","Man in the Hall","State Radio","Us Against the Crown (Bonus Track Version)","1","7","229066","spotify:user:1163504943","2015-08-10T15:01:53Z"
"spotify:track:0TbwH90j2HjNJC7Zcf09UI","Calvados Chopper","State Radio","Us Against the Crown (Bonus Track Version)","1","12","444933","spotify:user:1163504943","2015-08-10T15:01:56Z"
"spotify:track:1DfYWoARXc8YFLofiOJfWL","Sybil I","Chadwick Stokes","Us Against the Crown (Bonus Track Version)","1","13","177573","spotify:user:1163504943","2015-08-10T15:01:59Z"
"spotify:track:2BQFnSQymvASqEMIrwe7tp","RAMMLIED","Rammstein","LIEBE IST FüR ALLE DA (SPECIAL EDITION)","1","1","318666","spotify:user:1163504943","2015-08-10T15:02:31Z"
"spotify:track:1As6y31aweg1kgj0l9QXgm","ICH TU DIR WEH","Rammstein","LIEBE IST FüR ALLE DA (SPECIAL EDITION)","1","2","301853","spotify:user:1163504943","2015-08-10T15:02:33Z"
"spotify:track:237Z1GQ25C7qWicT4c7Bil","HAIFISCH","Rammstein","LIEBE IST FüR ALLE DA (SPECIAL EDITION)","1","4","224906","spotify:user:1163504943","2015-08-10T15:02:36Z"
"spotify:track:2cbaGpoddg5Coe4LiGyGj0","FRüHLING IN PARIS","Rammstein","LIEBE IST FüR ALLE DA (SPECIAL EDITION)","1","6","284920","spotify:user:1163504943","2015-08-10T15:02:39Z"
"spotify:track:6OiLqyavvFFKOxln5TbpTV","LIEBE IST FüR ALLE DA","Rammstein","LIEBE IST FüR ALLE DA (SPECIAL EDITION)","1","9","205440","spotify:user:1163504943","2015-08-10T15:02:43Z"
"spotify:track:3crVlsyXyP4a9HD5WHE8Ri","PUSSY","Rammstein","LIEBE IST FüR ALLE DA (SPECIAL EDITION)","1","8","239080","spotify:user:1163504943","2015-08-10T15:02:44Z"
"spotify:track:6Eq1OWv3zbhOO8fP8MqRlU","MEHR","Rammstein","LIEBE IST FüR ALLE DA (SPECIAL EDITION)","1","10","248253","spotify:user:1163504943","2015-08-10T15:02:45Z"
"spotify:track:2LwDT6XDsqFqZ7eR1f8srl","ROTER SAND","Rammstein","LIEBE IST FüR ALLE DA (SPECIAL EDITION)","1","11","239000","spotify:user:1163504943","2015-08-10T15:02:48Z"
"spotify:track:7mNjeshOOLZO21uq9CxroU","Wir","K.I.Z","Hurra die Welt geht unter","1","1","328720","spotify:user:1163504943","2015-08-10T15:02:57Z"
"spotify:track:6Txevj8EVZJPKzmHwyY1Uh","Boom Boom Boom","K.I.Z","Hurra die Welt geht unter","1","4","249026","spotify:user:1163504943","2015-08-10T15:03:04Z"
"spotify:track:1vlI9nrdfOHFhH5ljaGw2o","Verrückt nach dir","K.I.Z","Hurra die Welt geht unter","1","9","258079","spotify:user:1163504943","2015-08-10T15:03:06Z"
"spotify:track:1y2VNaNXAKYMiIwyVnIbfX","Ehrenlos","K.I.Z","Hurra die Welt geht unter","1","10","265560","spotify:user:1163504943","2015-08-10T15:03:10Z"
"spotify:track:45gCuptdnCv2ivdPf7IIHV","Was würde Manny Marc tun","K.I.Z, Audio88, Yassin, Manny Marc","Hurra die Welt geht unter","1","12","359200","spotify:user:1163504943","2015-08-10T15:03:13Z"
"spotify:track:3NIDOSThELMihLSOMZcL4k","Hurra die Welt geht unter","K.I.Z, Henning May","Hurra die Welt geht unter","1","13","284693","spotify:user:1163504943","2015-08-10T15:03:15Z"
"spotify:track:1EHVfzuNdYJlPSqze4dqDZ","Ich bin Adolf Hitler","K.I.Z","Ganz Oben (Mixtape)","1","3","270280","spotify:user:1163504943","2015-08-10T15:03:22Z"
"spotify:track:4jjnJ1DTvIlWYmxst7ZXQw","Jimi Blue","K.I.Z","Ganz Oben (Mixtape)","1","12","137506","spotify:user:1163504943","2015-08-10T15:03:29Z"
"spotify:track:3Uu1Gpflq95f8NqKVPB5sz","Urlaub fürs Gehirn","K.I.Z","Urlaub fürs Gehirn","1","2","241973","spotify:user:1163504943","2015-08-10T15:03:44Z"
"spotify:track:3CNC6yCslMjUdhRUcQDR4G","Abteilungsleiter der Liebe","K.I.Z","Urlaub fürs Gehirn","1","6","217200","spotify:user:1163504943","2015-08-10T15:03:50Z"
"spotify:track:644yHJludrNAS814iJ4MJC","Mr. Sonderbar","K.I.Z","Urlaub fürs Gehirn","1","12","234373","spotify:user:1163504943","2015-08-10T15:03:55Z"
"spotify:track:7D8wlUDb0pdnuhQY54tIku","Halbstark","K.I.Z","Sexismus Gegen Rechts","1","3","196533","spotify:user:1163504943","2015-08-10T15:04:09Z"
"spotify:track:3w09TK2vhYnmBgtatAEzeK","Needles","System Of A Down","Toxicity (Alben für die Ewigkeit)","1","2","193573","spotify:user:1163504943","2015-08-10T15:05:06Z"
"spotify:track:2TlwYf1zl73qadqPvyYKVn","Deer Dance","System Of A Down","Toxicity (Alben für die Ewigkeit)","1","3","174933","spotify:user:1163504943","2015-08-10T15:05:08Z"
"spotify:track:3l3w2WYe505ZMT5hRyC0v5","A.D.D. (American Dream Denial)","System Of A Down","Steal This Album!","1","6","197306","spotify:user:1163504943","2015-08-10T15:05:13Z"
"spotify:track:3yP7FBMa6VHShFjKD4CbuU","Forest","System Of A Down","Toxicity (Alben für die Ewigkeit)","1","8","240106","spotify:user:1163504943","2015-08-10T15:05:17Z"
"spotify:track:7BfGwphsAV3MDR0TAkRcVQ","Toxicity","System Of A Down","Toxicity (Alben für die Ewigkeit)","1","12","218933","spotify:user:1163504943","2015-08-10T15:05:19Z"
"spotify:track:5xQsU43GjYLrWnEVudWyCK","ATWA","System Of A Down","Toxicity (Alben für die Ewigkeit)","1","9","176200","spotify:user:1163504943","2015-08-10T15:05:20Z"
